brand,model_year,product,price,rating,ac_type,capacity,Dehumidification,Turbo Mode,Air Swing,Self Diagnosis,Memory Feature,LED Panel Display,Night Glow Buttons,Wi-Fi Connectivity,APP Control,Auto Clean,Hidden Panel Display,Voice Control,PM 2.5 Filter,inverter,star_rating
Whirlpool,,AC,24990,4.65,Split,1.5,0,1,1,1,0,0,1,0,0,0,0,0,0,1,5
Carrier,2024,AC,22990,4.55,Split,1.5,1,1,0,0,0,0,0,0,0,1,1,0,0,1,3
O General,,AC,67990,4.1,Split,1.5,1,1,1,1,0,1,0,0,0,0,0,0,0,1,5
Haier,2025,AC,37990,4.55,Split,1.5,1,1,1,0,0,0,0,0,0,1,1,0,0,1,5
Voltas,,AC,22990,4.55,Split,1.5,1,1,1,1,1,0,1,0,0,0,0,0,0,1,3
Panasonic,,AC,29990,4.3,Split,1.5,1,0,1,0,0,0,1,0,0,0,0,0,0,1,5
MarQ,2025,AC,19990,4.75,Split,0.75,1,1,1,1,1,0,1,0,0,0,0,0,0,1,3
Daikin,2026,AC,37490,4.0,Split,1.5,1,0,1,1,0,0,0,0,0,0,0,0,1,1,3
Daikin,2026,AC,52990,4.15,Split,1.5,1,0,1,1,0,0,0,0,0,0,0,0,1,1,5
Voltas,2026,AC,33989,4.0,Split,1.5,1,1,1,1,1,0,0,0,0,0,0,0,0,1,3
Haier,2025,AC,23990,4.6,Split,1.0,1,1,1,1,0,0,0,0,0,0,1,0,0,1,3
Daikin,,AC,39138,4.0,Split,1.5,1,0,1,1,0,1,0,0,0,0,0,0,0,1,5
Lloyd,2023,AC,25490,4.35,Split,1.5,1,1,1,0,0,0,0,0,0,0,0,0,0,1,3
Panasonic,2026,AC,47989,4.7,Split,1.5,1,0,1,0,0,0,0,1,1,0,1,1,0,1,5
Blue Star,2026,AC,37489,4.6,Split,1.5,1,1,1,1,0,0,0,1,1,0,0,1,0,1,3
LG,2026,AC,41490,4.75,Window,1.5,1,0,1,1,1,1,0,0,0,0,0,0,0,1,5
Voltas,,AC,36999,4.75,Split,1.5,1,1,1,1,0,1,0,0,0,0,0,0,0,1,5
Daikin,2026,AC,37990,4.3,Split,1.5,1,0,1,1,0,0,0,0,0,0,0,0,1,1,3
Panasonic,2026,AC,37990,4.75,Split,1.5,1,0,1,1,0,0,0,0,0,0,0,0,0,1,3
