,price,rating,category,n_features,brand_name,capacity_value,capacity_unit,star_rating,has_star_rating,has_inverter,has_wifi,has_voice_control,has_app_control,smart_connectivity_score,model_year,is_recent_model,appliance_age,ac_split,ac_window,ac_pm25_filter,ac_hepa_filter,ac_auto_clean,ac_hot_and_cold,ac_copper_condenser,ac_Dehumidification,ac_Turbo Mode,ac_Self Diagnosis,ref_single_door,ref_multi_door,ref_chest_freezer,ref_side_door,ref_french_door,ref_double_door,ref_triple_door,ref_frost_free,ref_convertible,ref_door_alarm,ref_door_lock,ref_dispenser,ref_door_display,ref_mini,wm_fully_automatic,wm_semi_automatic,wm_with_dryer,wm_washer_only,wm_dryer_only,wm_front_load,wm_top_load,wm_inbuilt_heater,wm_quick_wash,wm_ss_tub,wm_child_lock,wm_shock_proof,wm_display
0,24990,4.65,AC,10,whirlpool,1.5,Ton,5.0,1,0,0,0,0,0,,,,1,0,0,0,0,0,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,22990,4.55,AC,11,carrier,1.5,Ton,3.0,1,1,0,0,0,0,2024,1,2,1,0,0,0,1,0,0,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,67990,4.1,AC,12,o general,1.5,Ton,5.0,1,1,0,0,0,0,,,,1,0,0,0,0,1,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,37990,4.55,AC,11,haier,1.5,Ton,5.0,1,1,0,0,0,0,2025,1,1,1,0,0,0,1,0,0,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,22990,4.55,AC,11,voltas,1.5,Ton,3.0,1,0,0,0,0,0,,,,1,0,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,29990,4.3,AC,9,panasonic,1.5,Ton,5.0,1,0,0,0,0,0,,,,1,0,0,0,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,19990,4.75,AC,12,marq,0.75,Ton,3.0,1,1,0,0,0,0,2025,1,1,1,0,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,37490,4.0,AC,11,daikin,1.5,Ton,3.0,1,1,0,0,0,0,2026,1,0,1,0,1,0,0,0,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,52990,4.15,AC,11,daikin,1.5,Ton,5.0,1,1,0,0,0,0,2026,1,0,1,0,1,0,0,0,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,33989,4.0,AC,12,voltas,1.5,Ton,3.0,1,1,0,0,0,0,2026,1,0,1,0,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,23990,4.6,AC,11,haier,1.0,Ton,3.0,1,1,0,0,0,0,2025,1,1,1,0,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,39138,4.0,AC,9,daikin,1.5,Ton,5.0,1,1,0,0,0,0,,,,1,0,0,0,0,0,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,25490,4.35,AC,11,lloyd,1.5,Ton,3.0,1,1,0,0,0,0,2023,0,3,1,0,0,0,0,0,1,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,47989,4.7,AC,12,panasonic,1.5,Ton,5.0,1,1,1,1,1,3,2026,1,0,1,0,0,0,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,37489,4.6,AC,13,blue star,1.5,Ton,3.0,1,1,1,1,1,3,2026,1,0,1,0,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,41490,4.75,AC,11,lg,1.5,Ton,5.0,1,1,0,0,0,0,2026,1,0,0,1,0,0,0,0,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,36999,4.75,AC,11,voltas,1.5,Ton,5.0,1,1,0,0,0,0,,,,1,0,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,37990,4.3,AC,11,daikin,1.5,Ton,3.0,1,1,0,0,0,0,2026,1,0,1,0,1,0,0,0,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,37990,4.75,AC,10,panasonic,1.5,Ton,3.0,1,1,0,0,0,0,2026,1,0,1,0,0,0,0,0,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,36490,4.35,AC,13,samsung,1.5,Ton,5.0,1,1,1,1,1,3,2025,1,1,1,0,0,0,0,0,0,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,48489,4.25,AC,11,lg,1.5,Ton,5.0,1,1,0,0,0,0,2026,1,0,1,0,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,35849,4.5,AC,12,blue star,1.5,Ton,3.0,1,1,0,0,0,0,2026,1,0,1,0,1,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,77009,4.45,AC,11,mitsubishi,2.15,Ton,2.0,1,0,0,0,0,0,2026,1,0,1,0,1,0,1,0,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,47490,4.05,AC,13,blue star,1.5,Ton,5.0,1,1,1,1,1,3,2026,1,0,1,0,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,46790,4.55,AC,12,voltas,1.5,Ton,5.0,1,1,1,0,1,2,2026,1,0,1,0,0,0,0,0,0,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,48990,4.1,AC,13,haier,1.6,Ton,5.0,1,1,1,1,1,3,2026,1,0,1,0,0,0,0,0,0,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,40990,4.55,AC,11,daikin,1.5,Ton,4.0,1,1,0,0,0,0,2026,1,0,1,0,1,0,0,0,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,37990,4.05,AC,11,daikin,1.5,Ton,3.0,1,1,0,0,0,0,2026,1,0,1,0,1,0,0,0,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,44891,4.2,AC,10,hitachi,1.5,Ton,5.0,1,1,0,0,0,0,2026,1,0,1,0,0,0,0,0,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,25990,4.6,AC,11,samsung,1.0,Ton,3.0,1,1,0,0,0,0,2025,1,1,1,0,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,40490,4.7,AC,12,blue star,1.5,Ton,4.0,1,1,1,0,1,2,2026,1,0,1,0,0,0,0,0,0,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,37990,4.4,AC,11,blue star,1.5,Ton,3.0,1,1,0,0,0,0,2026,1,0,1,0,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,37490,4.5,AC,12,lg,1.5,Ton,3.0,1,1,1,1,1,3,2026,1,0,1,0,0,0,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,35490,4.45,AC,11,daikin,1.2,Ton,5.0,1,1,0,0,0,0,2025,1,1,1,0,1,0,1,0,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,44800,4.15,AC,11,voltas,1.5,Ton,5.0,1,1,0,0,0,0,2026,1,0,1,0,0,0,0,0,0,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,47190,4.2,AC,13,blue star,1.5,Ton,5.0,1,1,1,1,1,3,2026,1,0,1,0,0,0,0,0,0,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,50990,4.2,AC,11,daikin,1.5,Ton,5.0,1,1,0,0,0,0,,,,1,0,1,0,0,0,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,33489,4.25,AC,11,lloyd,1.5,Ton,3.0,1,1,0,0,0,0,2026,1,0,1,0,0,0,1,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,47829,4.25,AC,10,mitsubishi,1.8,Ton,2.0,1,0,0,0,0,0,,,,1,0,1,0,0,0,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,32990,4.6,AC,11,onida,1.5,Ton,5.0,1,1,0,0,0,0,,,,1,0,0,0,0,0,1,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,59090,4.0,AC,12,mitsubishi,1.5,Ton,3.0,1,1,0,0,0,0,2026,1,0,1,0,1,0,1,0,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,39990,4.5,AC,12,blue star,1.5,Ton,3.0,1,1,0,0,0,0,2026,1,0,1,0,0,1,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,47890,4.15,AC,12,panasonic,1.5,Ton,5.0,1,1,1,1,1,3,2026,1,0,1,0,0,0,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,21990,4.15,AC,12,marq,1.0,Ton,3.0,1,1,0,0,0,0,2025,1,1,1,0,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,28990,4.35,AC,10,hitachi,1.5,Ton,5.0,1,1,0,0,0,0,2023,0,3,1,0,0,0,0,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,37190,4.1,AC,12,blue star,1.5,Ton,3.0,1,1,0,0,0,0,2026,1,0,1,0,1,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,27490,4.35,AC,11,marq,1.0,Ton,5.0,1,1,0,0,0,0,2026,1,0,1,0,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,41990,4.35,AC,10,panasonic,1.5,Ton,3.0,1,1,0,0,0,0,2026,1,0,1,0,0,0,0,0,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,40990,4.3,AC,11,lg,1.5,Ton,3.0,1,1,0,0,0,0,2026,1,0,1,0,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,31790,4.1,AC,10,godrej,1.5,Ton,3.0,1,1,0,0,0,0,2026,1,0,1,0,0,0,1,0,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,36490,4.25,AC,12,carrier,1.5,Ton,3.0,1,1,0,0,0,0,2026,1,0,1,0,1,0,0,0,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,29990,4.35,AC,11,blue star,1.0,Ton,3.0,1,0,0,0,0,0,2026,1,0,0,1,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,37990,4.55,AC,12,panasonic,1.5,Ton,3.0,1,1,1,1,1,3,2026,1,0,1,0,0,0,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,28990,4.7,AC,12,marq,1.5,Ton,5.0,1,1,0,0,0,0,2025,1,1,1,0,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,24990,4.25,AC,12,marq,1.5,Ton,3.0,1,1,0,0,0,0,2025,1,1,1,0,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,31990,4.55,AC,10,voltas,1.5,Ton,3.0,1,1,0,0,0,0,2024,1,2,1,0,0,0,0,0,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,23890,4.3,AC,10,voltas,0.6,Ton,2.0,1,0,0,0,0,0,2023,0,3,1,0,0,0,0,0,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,34419,4.05,AC,11,lg,1.5,Ton,5.0,1,1,0,0,0,0,2021,0,5,1,0,0,0,0,0,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
