,price,rating,n_features,brand_name,capacity_value,capacity_unit,star_rating,has_star_rating,has_inverter,has_wifi,has_voice_control,has_app_control,smart_connectivity_score,ac_split,ac_window,ac_pm25_filter,ac_hepa_filter,ac_auto_clean,ac_hot_and_cold,ac_copper_condenser,ac_Dehumidification,ac_Turbo Mode,ac_Self Diagnosis,ref_single_door,ref_multi_door,ref_chest_freezer,ref_side_door,ref_french_door,ref_double_door,ref_triple_door,ref_frost_free,ref_convertible,ref_door_alarm,ref_door_lock,ref_dispenser,ref_door_display,ref_mini,wm_fully_automatic,wm_semi_automatic,wm_with_dryer,wm_washer_only,wm_dryer_only,wm_front_load,wm_top_load,wm_inbuilt_heater,wm_quick_wash,wm_ss_tub,wm_child_lock,wm_shock_proof,wm_display,log_price,capacity_sq,n_features_sq,rating_sq,capacity_n_features,capacity_rating,rating_n_features,smart_intensity,ac_premium_features,ref_door_complexity,wm_tech_level,features_above_avg,rating_above_avg,capacity_above_avg,brand_frequency,category_Refrigerator,category_WashingMachine,_category_backup
0,24990,4.65,10,whirlpool,1.5,Ton,5.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.126271039034782,2.25,100,21.622500000000002,15.0,6.9750000000000005,46.5,0,0,0,0,-0.9583746283448953,0.27324083250743403,0.054192269573835494,255,False,False,AC
1,22990,4.55,11,carrier,1.5,Ton,3.0,1,1,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.042858113983936,2.25,121,20.702499999999997,16.5,6.824999999999999,50.05,0,1,0,0,0.041625371655104715,0.1732408325074335,0.054192269573835494,64,False,False,AC
2,67990,4.1,12,o general,1.5,Ton,5.0,1,1,0,0,0,0,1,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.127130622457644,2.25,144,16.81,18.0,6.1499999999999995,49.199999999999996,0,1,0,0,1.0416253716551047,-0.2767591674925667,0.054192269573835494,12,False,False,AC
3,37990,4.55,11,haier,1.5,Ton,5.0,1,1,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.54510456855174,2.25,121,20.702499999999997,16.5,6.824999999999999,50.05,0,1,0,0,0.041625371655104715,0.1732408325074335,0.054192269573835494,309,False,False,AC
4,22990,4.55,11,voltas,1.5,Ton,3.0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.042858113983936,2.25,121,20.702499999999997,16.5,6.824999999999999,50.05,0,0,0,0,0.041625371655104715,0.1732408325074335,0.054192269573835494,218,False,False,AC
5,29990,4.3,9,panasonic,1.5,Ton,5.0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.30865261563529,2.25,81,18.49,13.5,6.449999999999999,38.699999999999996,0,0,0,0,-1.9583746283448953,-0.0767591674925665,0.054192269573835494,123,False,False,AC
6,19990,4.75,12,marq,0.75,Ton,3.0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.903037451255743,0.5625,144,22.5625,9.0,3.5625,57.0,0,0,0,0,1.0416253716551047,0.3732408325074337,-0.6958077304261645,39,False,False,AC
7,37490,4.0,11,daikin,1.5,Ton,3.0,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.531856183153893,2.25,121,16.0,16.5,6.0,44.0,0,0,0,0,0.041625371655104715,-0.3767591674925663,0.054192269573835494,66,False,False,AC
8,52990,4.15,11,daikin,1.5,Ton,5.0,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.87787736679393,2.25,121,17.222500000000004,16.5,6.2250000000000005,45.650000000000006,0,0,0,0,0.041625371655104715,-0.22675916749256597,0.054192269573835494,66,False,False,AC
9,33989,4.0,12,voltas,1.5,Ton,3.0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.433821642690162,2.25,144,16.0,18.0,6.0,48.0,0,0,0,0,1.0416253716551047,-0.3767591674925663,0.054192269573835494,218,False,False,AC
10,23990,4.6,11,haier,1.0,Ton,3.0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.085434038999999,1.0,121,21.159999999999997,11.0,4.6,50.599999999999994,0,0,0,0,0.041625371655104715,0.22324083250743332,-0.4458077304261645,309,False,False,AC
11,39138,4.0,9,daikin,1.5,Ton,5.0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.574874691313509,2.25,81,16.0,13.5,6.0,36.0,0,0,0,0,-1.9583746283448953,-0.3767591674925663,0.054192269573835494,66,False,False,AC
12,25490,4.35,11,lloyd,1.5,Ton,3.0,1,1,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.14608072767165,2.25,121,18.922499999999996,16.5,6.5249999999999995,47.849999999999994,0,1,0,0,0.041625371655104715,-0.026759167492566682,0.054192269573835494,141,False,False,AC
13,47989,4.7,12,panasonic,1.5,Ton,5.0,1,1,1,1,1,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.77874793485229,2.25,144,22.090000000000003,18.0,7.050000000000001,56.400000000000006,6,0,0,0,1.0416253716551047,0.32324083250743385,0.054192269573835494,123,False,False,AC
14,37489,4.6,13,blue star,1.5,Ton,3.0,1,1,1,1,1,3,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.531829509729958,2.25,169,21.159999999999997,19.5,6.8999999999999995,59.8,6,0,0,0,2.0416253716551047,0.22324083250743332,0.054192269573835494,165,False,False,AC
